,room,area,floor,address,usd_price,som_price
0,1,4,9,"['Бишкек', ' Магистраль', ' Сухэ-Батора/Токомбаева']",89000,7792840
1,4,1,9,"['Бишкек', ' Магистраль', ' Токомбаева', ' 15а']",245000,21452200
2,3,5,4,"['Бишкек', ' Советская - Скрябина', ' Скрябина', ' 19']",68500,5997860
3,2,5,11,"['Бишкек', ' Джал-23 м-н (Нижний Джал)', ' Исы Ахунбаева', ' 67']",80000,7004800
4,1,7,10,"['Бишкек', ' Старый аэропорт']",99500,8712220
5,3,6,9,"['Бишкек', ' Тунгуч м-н']",80500,7048580
6,1,5,10,"['Бишкек', ' Магистраль', ' Чынгыза Айтматова пр-т', ' 88']",113000,9894280
7,4,1,3,"['Бишкек', ' Магистраль', ' токтоналиева 104а/1']",146000,12783760
8,2,9,8,"['Бишкек', ' Старый аэропорт']",159500,13965820
9,1,4,4,"['Бишкек', ' Нижний Токольдош', ' Кийизбаевой', ' 33']",66000,5778960
